date,adresse,RFID,note,commentaire,dateNotation
2020-02-12,"59, boulevard de Vallet 67649 Perrotboeuf",6572626689,4,Superbe raclette traditionnelle !,2020-02-13
2020-02-12,"59, boulevard de Vallet 67649 Perrotboeuf",4518576425,5,Superbe raclette traditionnelle !,2020-02-12
2020-02-12,"59, boulevard de Vallet 67649 Perrotboeuf",6898523805,5,Superbe raclette traditionnelle !,2020-02-14
2020-02-12,"59, boulevard de Vallet 67649 Perrotboeuf",1304810635,5,Superbe raclette traditionnelle !,2020-02-13
2020-02-12,"59, boulevard de Vallet 67649 Perrotboeuf",4784577506,4,Superbe raclette traditionnelle !,2020-02-14
2024-01-25,"1, boulevard Coste 89602 Delattre-sur-Raymond",5903075909,5,Superbe raclette traditionnelle !,2024-01-25
2024-01-25,"1, boulevard Coste 89602 Delattre-sur-Raymond",3752532665,4,Superbe raclette traditionnelle !,2024-01-27
2024-01-25,"1, boulevard Coste 89602 Delattre-sur-Raymond",7609620994,5,Superbe raclette traditionnelle !,2024-01-27
2021-01-13,"13, rue Ferreira 75434 Legendre-sur-Mer",3791738475,4,Superbe raclette traditionnelle !,2021-01-15
2021-01-13,"13, rue Ferreira 75434 Legendre-sur-Mer",8012299750,5,Superbe raclette traditionnelle !,2021-01-15
2021-01-13,"13, rue Ferreira 75434 Legendre-sur-Mer",5562117913,5,Superbe raclette traditionnelle !,2021-01-14
2021-01-13,"13, rue Ferreira 75434 Legendre-sur-Mer",5086733893,4,Superbe raclette traditionnelle !,2021-01-13
2023-01-01,"8, chemin Fernandez 47926 Henry-les-Bains",5189428663,5,Superbe raclette traditionnelle !,2023-01-01
2023-01-01,"8, chemin Fernandez 47926 Henry-les-Bains",8567398421,5,Superbe raclette traditionnelle !,2023-01-02
2023-01-01,"8, chemin Fernandez 47926 Henry-les-Bains",8436879051,4,Superbe raclette traditionnelle !,2023-01-02
2023-01-01,"8, chemin Fernandez 47926 Henry-les-Bains",9363724838,5,Superbe raclette traditionnelle !,2023-01-03
2023-01-01,"8, chemin Fernandez 47926 Henry-les-Bains",2656400465,4,Superbe raclette traditionnelle !,2023-01-02
2020-11-05,"8, chemin Fernandez 47926 Henry-les-Bains",7566780827,4,Superbe raclette traditionnelle !,2020-11-06
2020-11-05,"8, chemin Fernandez 47926 Henry-les-Bains",4235530708,4,Superbe raclette traditionnelle !,2020-11-06
2020-11-05,"8, chemin Fernandez 47926 Henry-les-Bains",9858289712,5,Superbe raclette traditionnelle !,2020-11-06
2021-12-07,"27, rue Girard 17980 Lacombe-les-Bains",9680966670,5,Superbe raclette traditionnelle !,2021-12-08
2021-12-07,"27, rue Girard 17980 Lacombe-les-Bains",2376441825,4,Superbe raclette traditionnelle !,2021-12-07
2021-12-07,"27, rue Girard 17980 Lacombe-les-Bains",8953188534,4,Superbe raclette traditionnelle !,2021-12-08
2022-12-20,"8, rue Dumas 32441 David",6078962901,5,Superbe raclette traditionnelle !,2022-12-22
2022-12-20,"8, rue Dumas 32441 David",5821712174,4,Superbe raclette traditionnelle !,2022-12-20
2021-01-29,"38, chemin Julien 15846 Peron-sur-Grenier",9993211049,4,Superbe raclette traditionnelle !,2021-01-29
2021-01-29,"38, chemin Julien 15846 Peron-sur-Grenier",1529931275,5,Superbe raclette traditionnelle !,2021-01-31
2021-01-29,"38, chemin Julien 15846 Peron-sur-Grenier",6173006715,5,Superbe raclette traditionnelle !,2021-01-29
2021-01-29,"38, chemin Julien 15846 Peron-sur-Grenier",9332049529,4,Superbe raclette traditionnelle !,2021-01-30
2021-01-29,"38, chemin Julien 15846 Peron-sur-Grenier",8522098405,4,Superbe raclette traditionnelle !,2021-01-30
2026-03-11,"55, chemin Denis Dufour 95266 Chartier",5162075693,5,Superbe raclette traditionnelle !,2026-03-13
2026-03-11,"55, chemin Denis Dufour 95266 Chartier",3075639602,5,Superbe raclette traditionnelle !,2026-03-13
2026-03-11,"55, chemin Denis Dufour 95266 Chartier",1030309391,5,Superbe raclette traditionnelle !,2026-03-13
2026-03-11,"55, chemin Denis Dufour 95266 Chartier",4978130034,4,Superbe raclette traditionnelle !,2026-03-13
2026-03-11,"55, chemin Denis Dufour 95266 Chartier",6728135496,4,Superbe raclette traditionnelle !,2026-03-12
2022-01-05,"51, boulevard de Jean 97679 Sainte Valérieboeuf",3542232663,5,Superbe raclette traditionnelle !,2022-01-06
2022-01-05,"51, boulevard de Jean 97679 Sainte Valérieboeuf",9108016890,4,Superbe raclette traditionnelle !,2022-01-06
2022-01-05,"51, boulevard de Jean 97679 Sainte Valérieboeuf",9593660604,5,Superbe raclette traditionnelle !,2022-01-06
2022-01-05,"51, boulevard de Jean 97679 Sainte Valérieboeuf",1618906231,4,Superbe raclette traditionnelle !,2022-01-06
2022-01-05,"51, boulevard de Jean 97679 Sainte Valérieboeuf",4104807162,4,Superbe raclette traditionnelle !,2022-01-07
2020-10-20,"87, chemin de Lemaire 48306 Saint Valérienec",4134692974,5,Superbe raclette traditionnelle !,2020-10-22
2020-10-20,"87, chemin de Lemaire 48306 Saint Valérienec",8097460052,4,Superbe raclette traditionnelle !,2020-10-21
2020-10-20,"87, chemin de Lemaire 48306 Saint Valérienec",1474758540,5,Superbe raclette traditionnelle !,2020-10-22
2020-10-20,"87, chemin de Lemaire 48306 Saint Valérienec",3252215619,5,Superbe raclette traditionnelle !,2020-10-21
2020-05-05,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",6750955251,5,Superbe raclette traditionnelle !,2020-05-06
2020-05-05,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",6728135496,4,Superbe raclette traditionnelle !,2020-05-06
2020-05-05,"8, rue Joséphine Allard 47545 Sainte Éric-sur-Mer",8266870141,4,Superbe raclette traditionnelle !,2020-05-06
2023-01-16,"2, avenue de Raynaud 39343 Jourdan",7687710466,5,Superbe raclette traditionnelle !,2023-01-18
2023-01-16,"2, avenue de Raynaud 39343 Jourdan",9535931037,5,Superbe raclette traditionnelle !,2023-01-17
2023-01-16,"2, avenue de Raynaud 39343 Jourdan",2545071095,4,Superbe raclette traditionnelle !,2023-01-17
2023-01-16,"2, avenue de Raynaud 39343 Jourdan",7020826189,4,Superbe raclette traditionnelle !,2023-01-16
2020-10-21,"1, boulevard Coste 89602 Delattre-sur-Raymond",4761504077,5,Superbe raclette traditionnelle !,2020-10-23
2020-10-21,"1, boulevard Coste 89602 Delattre-sur-Raymond",1260476684,5,Superbe raclette traditionnelle !,2020-10-23
2020-10-21,"1, boulevard Coste 89602 Delattre-sur-Raymond",5348917218,4,Superbe raclette traditionnelle !,2020-10-22
2020-10-21,"1, boulevard Coste 89602 Delattre-sur-Raymond",8810971691,4,Superbe raclette traditionnelle !,2020-10-22
2024-01-18,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",9296899493,4,Superbe raclette traditionnelle !,2024-01-20
2024-01-18,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",4298560120,4,Superbe raclette traditionnelle !,2024-01-20
2024-01-18,"85, avenue Margaux Fernandez 24712 Saint Julie-sur",3358078301,5,Superbe raclette traditionnelle !,2024-01-20
2021-06-10,"38, chemin Julien 15846 Peron-sur-Grenier",5539883709,4,Superbe raclette traditionnelle !,2021-06-12
2021-06-10,"38, chemin Julien 15846 Peron-sur-Grenier",1995718177,4,Superbe raclette traditionnelle !,2021-06-10
2021-06-10,"38, chemin Julien 15846 Peron-sur-Grenier",7669050974,5,Superbe raclette traditionnelle !,2021-06-11
2021-06-10,"38, chemin Julien 15846 Peron-sur-Grenier",6302461734,5,Superbe raclette traditionnelle !,2021-06-10
2021-06-10,"38, chemin Julien 15846 Peron-sur-Grenier",8660961923,4,Superbe raclette traditionnelle !,2021-06-10
2020-12-24,"51, boulevard de Jean 97679 Sainte Valérieboeuf",2639046428,5,Superbe raclette traditionnelle !,2020-12-26
2020-12-24,"51, boulevard de Jean 97679 Sainte Valérieboeuf",3302378349,5,Superbe raclette traditionnelle !,2020-12-26
2020-12-24,"51, boulevard de Jean 97679 Sainte Valérieboeuf",9132730346,4,Superbe raclette traditionnelle !,2020-12-24
2020-12-24,"51, boulevard de Jean 97679 Sainte Valérieboeuf",8426534711,5,Superbe raclette traditionnelle !,2020-12-25
2020-12-24,"51, boulevard de Jean 97679 Sainte Valérieboeuf",4288334962,4,Superbe raclette traditionnelle !,2020-12-25
2024-02-23,"61, boulevard de Blanc 67736 Sainte Simonenec",6240071136,4,Superbe raclette traditionnelle !,2024-02-25
2024-02-23,"61, boulevard de Blanc 67736 Sainte Simonenec",5044459647,4,Superbe raclette traditionnelle !,2024-02-23
2020-08-04,rue De Sousa 82879 Roche,2267294700,5,Superbe raclette traditionnelle !,2020-08-06
2020-08-04,rue De Sousa 82879 Roche,2665685834,4,Superbe raclette traditionnelle !,2020-08-05
2020-08-04,rue De Sousa 82879 Roche,2692241568,4,Superbe raclette traditionnelle !,2020-08-04
2020-08-04,rue De Sousa 82879 Roche,2567180520,4,Superbe raclette traditionnelle !,2020-08-06
2020-08-04,rue De Sousa 82879 Roche,4909623390,4,Superbe raclette traditionnelle !,2020-08-06
2023-09-10,"11, avenue Carlier 57944 Legrand",4924609409,4,Superbe raclette traditionnelle !,2023-09-10
2023-09-10,"11, avenue Carlier 57944 Legrand",2521183264,4,Superbe raclette traditionnelle !,2023-09-11
2023-09-10,"11, avenue Carlier 57944 Legrand",1564969671,5,Superbe raclette traditionnelle !,2023-09-12
2024-07-09,"8, chemin Fernandez 47926 Henry-les-Bains",4514213927,1,"Decevant, il y avait des Sûr...",2024-07-11
2024-07-09,"8, chemin Fernandez 47926 Henry-les-Bains",4371755233,2,"Decevant, il y avait des Sûr...",2024-07-10
2024-07-09,"8, chemin Fernandez 47926 Henry-les-Bains",2672275189,2,"Decevant, il y avait des Sûr...",2024-07-10
2021-12-04,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",4808566249,4,Superbe raclette traditionnelle !,2021-12-05
2021-12-04,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",6815418240,5,Superbe raclette traditionnelle !,2021-12-06
2021-12-04,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",5628245958,5,Superbe raclette traditionnelle !,2021-12-04
2024-02-05,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",4678466400,5,Superbe raclette traditionnelle !,2024-02-06
2024-02-05,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",7679410471,4,Superbe raclette traditionnelle !,2024-02-07
2024-02-05,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",9513303522,5,Superbe raclette traditionnelle !,2024-02-07
2024-02-05,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",1085743934,4,Superbe raclette traditionnelle !,2024-02-06
2022-01-01,rue de Mendès 47183 Pereznec,1226412723,4,Superbe raclette traditionnelle !,2022-01-02
2022-01-01,rue de Mendès 47183 Pereznec,9491347735,4,Superbe raclette traditionnelle !,2022-01-02
2022-01-01,rue de Mendès 47183 Pereznec,6946273517,5,Superbe raclette traditionnelle !,2022-01-01
2022-01-01,rue de Mendès 47183 Pereznec,4986245066,4,Superbe raclette traditionnelle !,2022-01-02
2023-10-21,chemin de Faivre 97611 Saint Alfred-sur-Mer,1494623492,5,Superbe raclette traditionnelle !,2023-10-23
2023-10-21,chemin de Faivre 97611 Saint Alfred-sur-Mer,8123854389,4,Superbe raclette traditionnelle !,2023-10-21
2022-03-03,"83, rue Charles Diallo 71417 MaréchalVille",6187925694,5,Superbe raclette traditionnelle !,2022-03-05
2022-03-03,"83, rue Charles Diallo 71417 MaréchalVille",7686742794,4,Superbe raclette traditionnelle !,2022-03-05
2022-02-14,"13, rue Ferreira 75434 Legendre-sur-Mer",8626813696,4,Superbe raclette traditionnelle !,2022-02-14
2022-02-14,"13, rue Ferreira 75434 Legendre-sur-Mer",2165290150,5,Superbe raclette traditionnelle !,2022-02-16
2022-02-14,"13, rue Ferreira 75434 Legendre-sur-Mer",8815840169,4,Superbe raclette traditionnelle !,2022-02-14
2022-02-14,"13, rue Ferreira 75434 Legendre-sur-Mer",6089675150,5,Superbe raclette traditionnelle !,2022-02-14
2023-09-19,"12, chemin Letellier 83914 Jacquet",5209162700,4,Superbe raclette traditionnelle !,2023-09-21
2023-09-19,"12, chemin Letellier 83914 Jacquet",1430417477,4,Superbe raclette traditionnelle !,2023-09-20
2023-09-19,"12, chemin Letellier 83914 Jacquet",8739355611,5,Superbe raclette traditionnelle !,2023-09-20
2023-09-19,"12, chemin Letellier 83914 Jacquet",3328717950,5,Superbe raclette traditionnelle !,2023-09-20
2023-09-19,"12, chemin Letellier 83914 Jacquet",3719284360,4,Superbe raclette traditionnelle !,2023-09-21
2023-01-12,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",5533332208,4,Superbe raclette traditionnelle !,2023-01-13
2023-01-12,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",8407885136,4,Superbe raclette traditionnelle !,2023-01-13
2023-01-12,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",5419240777,5,Superbe raclette traditionnelle !,2023-01-14
2023-01-12,"94, avenue de Bigot 49107 Sainte Mathilde-les-Bain",9407960259,5,Superbe raclette traditionnelle !,2023-01-12
2022-06-24,rue de Tanguy 44327 Sainte Antoine,4746492129,5,Superbe raclette traditionnelle !,2022-06-26
2022-06-24,rue de Tanguy 44327 Sainte Antoine,4719878465,5,Superbe raclette traditionnelle !,2022-06-26
2022-06-24,rue de Tanguy 44327 Sainte Antoine,2892195671,5,Superbe raclette traditionnelle !,2022-06-26
2022-06-24,rue de Tanguy 44327 Sainte Antoine,8975658866,4,Superbe raclette traditionnelle !,2022-06-25
2022-01-30,"82, boulevard Lemoine 54413 Sainte Margotnec",1231494792,4,Superbe raclette traditionnelle !,2022-02-01
